id,nombre,tipo,recomendacion,precio,enlace,pais,ciudad,horario
1,Peck 47,Desayuno,Huevos benedictinos,€10 - 20,https://www.google.com/maps?q=Peck+47+Brussels,Bélgica,Bruselas,08:00-15:00 (lun-dom)
2,Angelina,Desayuno,Croque Monsieur,€30 - 40,https://www.google.com/maps?q=Angelina+Paris,Francia,París,07:30-19:00 (lun-dom)
3,Cafe de la Paix,Desayuno,Paquete Continental,€21,https://www.google.com/maps?q=Cafe+de+la+Paix+Paris,Francia,París,07:00-23:00 (lun-dom)
4,Cafe de Flore,Desayuno,Desayuno parisino,€20 - 30,https://www.google.com/maps?q=Cafe+de+Flore+Paris,Francia,París,07:30-01:30 (lun-dom)
5,Les Deux Magots,Desayuno,Café y croissant,€20 - 30,https://www.google.com/maps?q=Les+Deux+Magots+Paris,Francia,París,07:30-01:00 (lun-dom)
6,Fin De Siecle,Comida,Comida belga tradicional,€20 - 30,https://www.google.com/maps?q=Fin+De+Siecle+Brussels,Bélgica,Bruselas,18:00-23:00 (lun-sáb)
7,Fritland,Comida,Papas fritas,€1 - 10,https://www.google.com/maps?q=Fritland+Brussels,Bélgica,Bruselas,11:00-01:00 (lun-dom)
8,9 et Voisins,Comida,Comida de estilo belga,€20 - 30,https://www.google.com/maps?q=9+et+Voisins+Brussels,Bélgica,Bruselas,12:00-14:30 / 18:30-22:00 (mar-sáb)
9,Le Machon d'Henri,Comida,Entrecot,€30 - 40,https://www.google.com/maps?q=Le+Machon+d'Henri+Paris,Francia,París,12:00-14:30 / 19:00-22:30 (lun-sáb)
10,Chez Fernand,Comida,Comida francesa,€30 - 40,https://www.google.com/maps?q=Chez+Fernand+Paris,Francia,París,12:00-14:30 / 19:00-22:30 (lun-sáb)
11,Bouillon Chartier,Comida,Comida francesa tradicional,€20 - 30,https://www.google.com/maps?q=Bouillon+Chartier+Paris,Francia,París,11:30-23:00 (lun-dom)
12,Le Consulat,Comida,Comida parisina,€20 - 30,https://www.google.com/maps?q=Le+Consulat+Paris,Francia,París,10:00-23:30 (lun-dom)
13,Le Train Bleu,Comida,Comida gourmet,€30 - 40,https://www.google.com/maps?q=Le+Train+Bleu+Paris,Francia,París,11:30-15:00 / 19:00-23:00 (lun-dom)
14,Chez Alain Miam Miam,Comida,Comida rápida francesa,€10 - 20,https://www.google.com/maps?q=Chez+Alain+Miam+Miam+Paris,Francia,París,11:00-18:00 (mié-dom)
15,La Baguette du Relais,Comida,Sándwiches y baguettes,€10 - 20,https://www.google.com/maps?q=La+Baguette+du+Relais+Paris,Francia,París,08:00-17:00 (lun-dom)
16,Piccolo Buco,Comida,Pizza tradicional,€20 - 30,https://www.google.com/maps?q=Piccolo+Buco+Rome,Italia,Roma,12:00-15:30 / 19:00-23:30 (lun-dom)
17,Osteria da Fortunata,Comida,Comida italiana casera,€20 - 30,https://www.google.com/maps?q=Osteria+da+Fortunata+Rome,Italia,Roma,12:00-15:30 / 19:00-23:00 (lun-dom)
18,Aux Merveilleux de Fred,Desayuno,Merveilleux (pasteles de merengue),€4 - 10,https://www.google.com/maps?q=Aux+Merveilleux+de+Fred+Brussels,Bélgica,Bruselas,08:00-19:00 (lun-dom)
