nombre,tipo,recomendacion,precio,enlace,pais,ciudad
Peck 47,Desayuno,Huevos benedictinos,€10 - 20,https://www.google.com/maps?q=Peck+47+Brussels,Bélgica,Bruselas
Angelina,Desayuno,Croque Monsieur,€30 - 40,https://www.google.com/maps?q=Angelina+Paris,Francia,París
Cafe de la Paix,Desayuno,Paquete Continental,€21,https://www.google.com/maps?q=Cafe+de+la+Paix+Paris,Francia,París
Cafe de Flore,Desayuno,Desayuno parisino,€20 - 30,https://www.google.com/maps?q=Cafe+de+Flore+Paris,Francia,París
Les Deux Magots,Desayuno,Café y croissant,€20 - 30,https://www.google.com/maps?q=Les+Deux+Magots+Paris,Francia,París
Fin De Siecle,Comida,Comida belga tradicional,€20 - 30,https://www.google.com/maps?q=Fin+De+Siecle+Brussels,Bélgica,Bruselas
Fritland,Comida,Papas fritas,€1 - 10,https://www.google.com/maps?q=Fritland+Brussels,Bélgica,Bruselas
9 et Voisins,Comida,Comida de estilo belga,€20 - 30,https://www.google.com/maps?q=9+et+Voisins+Brussels,Bélgica,Bruselas
Le Machon d'Henri,Comida,Entrecot,€30 - 40,https://www.google.com/maps?q=Le+Machon+d'Henri+Paris,Francia,París
Chez Fernand,Comida,Comida francesa,€30 - 40,https://www.google.com/maps?q=Chez+Fernand+Paris,Francia,París
Bouillon Chartier,Comida,Comida francesa tradicional,€20 - 30,https://www.google.com/maps?q=Bouillon+Chartier+Paris,Francia,París
Le Consulat,Comida,Comida parisina,€20 - 30,https://www.google.com/maps?q=Le+Consulat+Paris,Francia,París
Le Train Bleu,Comida,Comida gourmet,€30 - 40,https://www.google.com/maps?q=Le+Train+Bleu+Paris,Francia,París
Chez Alain Miam Miam,Comida,Comida rápida francesa,€10 - 20,https://www.google.com/maps?q=Chez+Alain+Miam+Miam+Paris,Francia,París
La Baguette du Relais,Comida,Sándwiches y baguettes,€10 - 20,https://www.google.com/maps?q=La+Baguette+du+Relais+Paris,Francia,París
Piccolo Buco,Comida,Pizza tradicional,€20 - 30,https://www.google.com/maps?q=Piccolo+Buco+Rome,Italia,Roma
Osteria da Fortunata,Comida,Comida italiana casera,€20 - 30,https://www.google.com/maps?q=Osteria+da+Fortunata+Rome,Italia,Roma
Aux Merveilleux de Fred,Desayuno,Merveilleux (pasteles de merengue),€4 - 10,https://www.google.com/maps?q=Aux+Merveilleux+de+Fred+Brussels,Bélgica,Bruselas
Le Cirio,Comida,Waterzooi de pollo (crema flamenca),€20 - 35,https://www.google.com/maps?q=Le+Cirio+Brussels,Bélgica,Bruselas
Chez Léon,Comida,Moules-frites (mejillones con patatas),€18 - 28,https://www.google.com/maps?q=Chez+Léon+Brussels,Bélgica,Bruselas
La Fabrique en Ville,Desayuno,Brunch con productos locales,€15 - 25,https://www.google.com/maps?q=La+Fabrique+en+Ville+Brussels,Bélgica,Bruselas
Li O Lait,Desayuno,Tostadas con miel local,€8 - 15,https://www.google.com/maps?q=Li+O+Lait+Bruges,Bélgica,Brujas
De Vlaamsche Pot,Comida,Carbonnades flamandes (estofado de cerveza),€25 - 40,https://www.google.com/maps?q=De+Vlaamsche+Pot+Bruges,Bélgica,Brujas
